City,State,Latitude,Longitude,Population,Area_km2
Lucknow,Uttar Pradesh,26.8467,80.9462,3382000,631
Delhi,Delhi,28.6139,77.2090,32941000,1484
Mumbai,Maharashtra,19.0760,72.8777,21296000,603
Bengaluru,Karnataka,12.9716,77.5946,14008000,741
Kanpur,Uttar Pradesh,26.4499,80.3319,3209000,403
Kolkata,West Bengal,22.5726,88.3639,15133000,206
Chennai,Tamil Nadu,13.0827,80.2707,11935000,426
Hyderabad,Telangana,17.3850,78.4867,10494000,650
Pune,Maharashtra,18.5204,73.8567,7764000,516
Jaipur,Rajasthan,26.9124,75.7873,4315000,467
